# Kpath    Energy-Level (in eV)
# Band    1
       0.87920       2.56598
       0.90234       2.40321
       0.92548       2.24743
       0.94861       2.09980
       0.97175       1.96169
       0.99489       1.83478
       1.01803       1.72105
       1.04116       1.62279
       1.06430       1.54254
       1.08744       1.48283
       1.11057       1.44593
       1.13371       1.43345
       1.13371       1.43345
       1.14707       1.43340
       1.16043       1.43328
       1.17378       1.43306
       1.18714       1.43274
       1.20050       1.43231
       1.21386       1.43175
       1.22722       1.43104
       1.24057       1.43016
       1.25393       1.42909
       1.26729       1.42778
       1.28065       1.42621
       1.29401       1.42434
       1.30737       1.42212
       1.32072       1.41951
       1.33408       1.41647
       1.34744       1.41293
       1.36080       1.40885
       1.37416       1.40417
       1.38751       1.39883
       1.40087       1.39276
       1.41423       1.38590
       1.42759       1.37819
       1.44095       1.36955
       1.45430       1.35992
       1.46766       1.34923
       1.48102       1.33742
       1.49438       1.32443
       1.50774       1.31020
       1.52110       1.29469
       1.53445       1.27785
       1.54781       1.25965
       1.56117       1.24007
       1.57453       1.21912
       1.58789       1.19680
       1.60124       1.17317
       1.61460       1.14829
       1.62796       1.12227
       1.64132       1.09526
       1.65468       1.06747
       1.66803       1.03916
       1.68139       1.01068
       1.69475       0.98247
       1.70811       0.95510
       1.72147       0.92925
       1.73483       0.90578
       1.74818       0.88566
       1.76154       0.86998
       1.77490       0.85985
       1.78826       0.85629
       1.78826       0.85629
       1.81497       0.87149
       1.84169       0.91688
       1.86841       0.98855
       1.89512       1.08072
       1.92184       1.18843
       1.94856       1.30811
       1.97527       1.43737
       2.00199       1.57463
       2.02870       1.71884
       2.05542       1.86925
       2.08214       2.02534
       2.10885       2.18672
       2.13557       2.35305
       2.16229       2.52410
       2.18900       2.69965
       2.21572       2.87951
       2.24243       3.06349
       2.26915       3.25142
       2.29587       3.44313
       2.32258       3.63845
       2.34930       3.83717
       2.37602       4.03909
       2.40273       4.24398
       2.42945       4.45150
       2.45616       4.66051
       2.48288       4.71829
       2.50960       4.64322
       2.53631       4.57122
       2.56303       4.50255
       2.58974       4.43674
       2.61646       4.37329
       2.64318       4.31139
       2.66989       4.25067
       2.69661       4.19101
       2.72333       4.13267
       2.75004       4.07620
       2.77676       4.02149
       2.80347       3.97026
       2.83019       3.92245
       2.85691       3.87838
       2.88362       3.83838
       2.91034       3.80259
       2.93706       3.77132
       2.96377       3.74459
       2.99049       3.72260
       3.01720       3.70541
       3.04392       3.69334
       3.07064       3.68597
       3.09735       3.68341
# Band    6
       3.09735       4.67065
       3.07064       4.66657
       3.04392       4.65367
       3.01720       4.63409
       2.99049       4.61050
       2.96377       4.58502
       2.93706       4.55975
       2.91034       4.53647
       2.88362       4.51673
       2.85691       4.50164
       2.83019       4.49233
       2.80347       4.48976
       2.77676       4.49480
       2.75004       4.50908
       2.72333       4.53187
       2.69661       4.56468
       2.66989       4.60797
       2.64318       4.66190
       2.61646       4.72633
       2.58974       4.79930
       2.56303       4.88287
       2.53631       4.97481
       2.50960       5.07106
       2.48288       4.87633
       2.45616       4.80204
       2.42945       4.88545
       2.40273       4.97434
       2.37602       5.06758
       2.34930       5.16523
       2.32258       5.26702
       2.29587       5.37277
       2.26915       5.48221
       2.24243       5.59504
       2.21572       5.71095
       2.18900       5.82955
       2.16229       5.95037
       2.13557       6.07291
       2.10885       6.19655
       2.08214       6.32064
       2.05542       6.44435
       2.02870       6.56672
       2.00199       6.68646
       1.97527       6.67443
       1.94856       6.59637
       1.92184       6.52756
       1.89512       6.46914
       1.86841       6.42214
       1.84169       6.38749
       1.81497       6.36610
       1.78826       6.35879
       1.78826       6.35879
       1.77490       6.36066
       1.76154       6.36633
       1.74818       6.37588
       1.73483       6.38937
       1.72147       6.40687
       1.70811       6.42842
       1.69475       6.45406
       1.68139       6.48383
       1.66803       6.51772
       1.65468       6.55571
       1.64132       6.59749
       1.62796       6.53873
       1.61460       6.41539
       1.60124       6.28763
       1.58789       6.15648
       1.57453       6.02277
       1.56117       5.88720
       1.54781       5.75037
       1.53445       5.61283
       1.52110       5.47505
       1.50774       5.33744
       1.49438       5.20040
       1.48102       5.06427
       1.46766       4.92939
       1.45430       4.79606
       1.44095       4.66460
       1.42759       4.53529
       1.41423       4.40842
       1.40087       4.28427
       1.38751       4.16315
       1.37416       4.04535
       1.36080       3.93117
       1.34744       3.82091
       1.33408       3.71489
       1.32072       3.61343
       1.30737       3.51688
       1.29401       3.42556
       1.28065       3.33983
       1.26729       3.26003
       1.25393       3.18650
       1.24057       3.11960
       1.22722       3.05964
       1.21386       3.00696
       1.20050       2.96182
       1.18714       2.92451
       1.17378       2.89524
       1.16043       2.87419
       1.14707       2.86151
       1.13371       2.85728
       1.13371       2.85728
       1.11057       2.85854
       1.08744       2.86231
       1.06430       2.86860
       1.04116       2.87739
       1.01803       2.88867
       0.99489       2.90244
       0.97175       2.91866
       0.94861       2.93733
       0.92548       2.95841
       0.90234       2.98189
       0.87920       3.00773
       0.85607       3.03590
       0.83293       3.06642
       0.80979       3.10167
       0.78666       3.27092
       0.76352       3.45713
       0.74038       3.64655
       0.71725       3.83869
       0.69411       4.03317
       0.67097       4.22959
       0.64783       4.42756
       0.62470       4.62666
       0.60156       4.82609
       0.57842       4.93910
       0.55529       4.84790
       0.53215       4.75924
       0.50901       4.67468
       0.48588       4.59473
       0.46274       4.51977
       0.43960       4.45051
       0.41646       4.38816
       0.39333       4.33498
       0.37019       4.29501
       0.34705       4.27410
       0.32392       4.27608
       0.30078       4.29742
       0.27764       4.33047
       0.25451       4.36916
       0.23137       4.40990
       0.20823       4.45065
       0.18510       4.49011
       0.16196       4.52740
       0.13882       4.56179
       0.11568       4.59265
       0.09255       4.61926
       0.06941       4.64101
       0.04627       4.65777
       0.02314       4.66763
       0.00000       4.67063
# Band    7
       0.00000       4.67064
       0.02314       4.67741
       0.04627       4.69767
       0.06941       4.73128
       0.09255       4.77799
       0.11568       4.83749
       0.13882       4.90938
       0.16196       4.99324
       0.18510       5.08858
       0.20823       5.19490
       0.23137       5.31168
       0.25451       5.43842
       0.27764       5.41352
       0.30078       5.46221
       0.32392       5.51462
       0.34705       5.57062
       0.37019       5.62997
       0.39333       5.69222
       0.41646       5.75620
       0.43960       5.81805
       0.46274       5.85785
       0.48588       5.78809
       0.50901       5.61909
       0.53215       6.11313
       0.55529       5.22773
       0.57842       5.02987
       0.60156       5.03975
       0.62470       5.14020
       0.64783       5.24494
       0.67097       5.35352
       0.69411       5.46582
       0.71725       5.58174
       0.74038       5.70121
       0.76352       5.82411
       0.78666       5.95036
       0.80979       6.07984
       0.83293       6.21239
       0.85607       6.34785
       0.87920       6.48599
       0.90234       6.62652
       0.92548       6.76905
       0.94861       6.91307
       0.97175       7.05782
       0.99489       7.20221
       1.01803       7.34453
       1.04116       7.48199
       1.06430       7.60986
       1.08744       7.71994
       1.11057       7.79806
       1.13371       7.82719
       1.13371       7.82722
       1.14707       7.82931
       1.16043       7.82992
       1.17378       7.83139
       1.18714       7.83447
       1.20050       7.83840
       1.21386       7.84296
       1.22722       7.84833
       1.24057       7.85450
       1.25393       7.86144
       1.26729       7.86915
       1.28065       7.87760
       1.29401       7.88677
       1.30737       7.89665
       1.32072       7.90720
       1.33408       7.91839
       1.34744       7.93020
       1.36080       7.94259
       1.37416       7.95553
       1.38751       7.96894
       1.40087       7.97149
       1.41423       7.87232
       1.42759       7.77437
       1.44095       7.67833
       1.45430       7.58446
       1.46766       7.49299
       1.48102       7.40413
       1.49438       7.31807
       1.50774       7.23499
       1.52110       7.15506
       1.53445       7.07842
       1.54781       7.00521
       1.56117       6.93557
       1.57453       6.86961
       1.58789       6.80743
       1.60124       6.74914
       1.61460       6.69481
       1.62796       6.64466
       1.64132       6.65783
       1.65468       6.76917
       1.66803       6.87312
