# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   1.134    -8.385  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.245
   1.111    -8.374  0.014  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.246
   1.087    -8.342  0.018  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.248
   1.064    -8.290  0.024  0.057  0.000  0.172  0.000  0.000  0.000  0.000  0.000  0.252
   1.041    -8.219  0.031  0.057  0.000  0.170  0.000  0.000  0.000  0.000  0.000  0.257
   1.018    -8.133  0.038  0.056  0.000  0.169  0.000  0.000  0.000  0.000  0.000  0.263
   0.995    -8.032  0.046  0.056  0.000  0.167  0.000  0.000  0.000  0.000  0.000  0.269
   0.972    -7.918  0.053  0.055  0.000  0.166  0.000  0.000  0.000  0.000  0.000  0.275
   0.949    -7.794  0.060  0.055  0.000  0.165  0.000  0.000  0.000  0.000  0.000  0.280
   0.925    -7.661  0.066  0.055  0.000  0.164  0.000  0.000  0.000  0.000  0.000  0.285
   0.902    -7.519  0.071  0.055  0.000  0.164  0.000  0.000  0.000  0.000  0.000  0.290
   0.879    -7.371  0.076  0.055  0.000  0.164  0.000  0.000  0.000  0.000  0.000  0.295
   0.856    -7.217  0.080  0.055  0.000  0.165  0.000  0.000  0.000  0.000  0.000  0.299
   0.833    -7.057  0.082  0.055  0.000  0.165  0.000  0.000  0.000  0.000  0.000  0.303
   0.810    -6.893  0.085  0.055  0.000  0.166  0.000  0.000  0.000  0.000  0.000  0.306
   0.787    -6.724  0.086  0.056  0.000  0.167  0.000  0.000  0.000  0.000  0.000  0.309
   0.764    -6.552  0.088  0.056  0.000  0.168  0.000  0.000  0.000  0.000  0.000  0.312
   0.740    -6.377  0.088  0.056  0.000  0.169  0.000  0.000  0.000  0.000  0.000  0.314
   0.717    -6.198  0.088  0.057  0.000  0.171  0.000  0.000  0.000  0.000  0.000  0.316
   0.694    -6.018  0.088  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.318
   0.671    -5.835  0.087  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.320
   0.648    -5.650  0.086  0.059  0.000  0.176  0.000  0.000  0.000  0.000  0.000  0.321
   0.625    -5.464  0.085  0.059  0.000  0.178  0.000  0.000  0.000  0.000  0.000  0.323
   0.602    -5.276  0.083  0.060  0.000  0.180  0.000  0.000  0.000  0.000  0.000  0.324
