#K-Path     Energy-Level
#Band-index    1
  0.204      -16.4583
  0.194      -16.4583
  0.183      -16.4583
  0.173      -16.4582
  0.163      -16.4582
  0.153      -16.4582
  0.143      -16.4582
  0.132      -16.4582
  0.122      -16.4582
  0.112      -16.4582
  0.102      -16.4582
  0.092      -16.4582
  0.081      -16.4582
  0.071      -16.4582
  0.061      -16.4582
  0.051      -16.4582
  0.041      -16.4582
  0.031      -16.4582
  0.020      -16.4582
  0.010      -16.4582
  0.000      -16.4582
#Band-index    5
  0.000      -16.4582
  0.010      -16.4582
  0.020      -16.4582
  0.031      -16.4582
  0.041      -16.4582
  0.051      -16.4582
  0.061      -16.4582
  0.071      -16.4582
  0.081      -16.4582
  0.092      -16.4582
  0.102      -16.4582
  0.112      -16.4582
  0.122      -16.4582
  0.132      -16.4582
  0.143      -16.4582
  0.153      -16.4582
  0.163      -16.4582
  0.173      -16.4582
  0.183      -16.4582
  0.194      -16.4583
  0.204      -16.4583
  0.214      -16.4583
  0.224      -16.4583
  0.234      -16.4583
  0.244      -16.4583
  0.255      -16.4583
  0.265      -16.4583
  0.275      -16.4583
  0.285      -16.4583
  0.295      -16.4583
  0.306      -16.4583
  0.316      -16.4583
  0.326      -16.4584
  0.336      -16.4584
  0.346      -16.4584
  0.357      -16.4584
  0.367      -16.4584
  0.377      -16.4584
  0.387      -16.4584
  0.397      -16.4584
  0.407      -16.4584
  0.418      -16.4584
  0.428      -16.4584
  0.438      -16.4585
  0.448      -16.4585
  0.458      -16.4585
  0.469      -16.4585
  0.479      -16.4585
  0.489      -16.4585
  0.499      -16.4585
  0.509      -16.4585
  0.520      -16.4585
  0.530      -16.4585
  0.540      -16.4585
  0.550      -16.4586
  0.560      -16.4586
  0.570      -16.4586
  0.581      -16.4586
  0.591      -16.4586
  0.601      -16.4586
  0.611      -16.4586
  0.621      -16.4586
  0.632      -16.4586
  0.642      -16.4586
  0.652      -16.4586
  0.662      -16.4586
  0.672      -16.4586
  0.682      -16.4586
  0.693      -16.4586
  0.693      -16.4586
  0.703      -16.4586
  0.714      -16.4586
  0.724      -16.4586
  0.734      -16.4586
  0.745      -16.4586
  0.755      -16.4586
  0.766      -16.4586
  0.776      -16.4586
  0.786      -16.4586
  0.797      -16.4586
  0.807      -16.4585
  0.818      -16.4585
  0.828      -16.4585
  0.839      -16.4585
  0.849      -16.4585
  0.859      -16.4585
  0.870      -16.4585
  0.880      -16.4585
  0.891      -16.4585
  0.901      -16.4584
  0.912      -16.4584
  0.922      -16.4584
  0.932      -16.4584
  0.943      -16.4584
  0.953      -16.4584
  0.964      -16.4583
  0.974      -16.4583
  0.984      -16.4583
  0.995      -16.4583
  1.005      -16.4583
  1.016      -16.4583
  1.026      -16.4583
  1.037      -16.4582
  1.047      -16.4582
  1.057      -16.4582
  1.068      -16.4582
  1.078      -16.4582
  1.089      -16.4582
  1.099      -16.4582
  1.110      -16.4582
  1.120      -16.4582
  1.130      -16.4582
  1.141      -16.4582
  1.151      -16.4582
  1.162      -16.4582
  1.172      -16.4582
  1.182      -16.4582
  1.182      -16.4582
  1.193      -16.4582
  1.203      -16.4582
  1.213      -16.4582
  1.223      -16.4582
  1.233      -16.4582
  1.244      -16.4582
  1.254      -16.4582
  1.264      -16.4582
  1.274      -16.4582
  1.284      -16.4581
  1.295      -16.4581
  1.305      -16.4581
  1.315      -16.4581
  1.325      -16.4581
  1.335      -16.4581
  1.345      -16.4581
  1.356      -16.4581
  1.366      -16.4581
  1.376      -16.4581
  1.386      -16.4581
  1.396      -16.4581
  1.407      -16.4581
  1.417      -16.4581
  1.427      -16.4581
  1.437      -16.4581
  1.447      -16.4580
  1.457      -16.4580
  1.468      -16.4580
  1.478      -16.4580
  1.488      -16.4580
  1.498      -16.4580
  1.508      -16.4580
  1.519      -16.4580
  1.529      -16.4580
  1.539      -16.4580
  1.549      -16.4580
  1.559      -16.4579
  1.570      -16.4579
  1.580      -16.4579
  1.590      -16.4579
  1.600      -16.4579
  1.610      -16.4579
  1.620      -16.4579
  1.631      -16.4579
  1.641      -16.4579
  1.651      -16.4579
  1.661      -16.4579
  1.671      -16.4578
  1.682      -16.4578
  1.692      -16.4578
  1.702      -16.4578
  1.712      -16.4578
  1.722      -16.4578
  1.733      -16.4578
  1.743      -16.4578
  1.753      -16.4578
  1.763      -16.4578
  1.773      -16.4578
  1.783      -16.4578
  1.794      -16.4578
  1.804      -16.4578
  1.814      -16.4578
